,Date,Text,Positive,Negative,Neutral,Compound
31,Sun Dec 03 03:39:04 +0000 2017,"Last night, @SenSanders slammed the tax reform bill that passed the Senate. https://t.co/yPerz6qC85 https://t.co/jothyy06bc",0.0,0.0,1.0,0.0
32,Sun Dec 03 03:37:59 +0000 2017,Navy disciplines aviators over lewd images in the sky https://t.co/i2ZJQPdiVq,0.0,0.0,1.0,0.0
33,Sun Dec 03 03:30:03 +0000 2017,".@RepGaramendi: ""After you vote for it, to say, 'Well, I think we'd better read it and understand what's in it' - t… https://t.co/ZN2lrzfPvr",0.127,0.0,0.873,0.4404
34,Sun Dec 03 03:23:02 +0000 2017,"Trump compares Flynn to Hillary, asks 'rigged system' or 'double standard?' https://t.co/KLKXFGqVAC",0.0,0.185,0.815,-0.3612
35,Sun Dec 03 03:17:02 +0000 2017,"On ""The Cost of Freedom,"" @RepDeSantis gave his take on allegations against the Trump campaign for colluding with R… https://t.co/s6mygQKvl1",0.0,0.104,0.896,-0.296
36,Sun Dec 03 03:16:01 +0000 2017,"On @ffweekend, @SheriffClarke gave his take on the @NFL's reported plan to donate nearly $100 million to ""social ju… https://t.co/8f6sJw2ZTL",0.0,0.0,1.0,0.0
37,Sun Dec 03 03:14:08 +0000 2017,".@dbongino on Michael Flynn: ""It's only Republicans who get arrested [for fibbing] while the Democrats get away wit… https://t.co/gGze58Ej2L",0.0,0.147,0.853,-0.4767
38,Sun Dec 03 03:02:30 +0000 2017,".@ChristopherHahn on Michael Flynn guilty plea: ""The government wants somebody bigger than Flynn and that's why the… https://t.co/WhlXUjWMTz",0.0,0.141,0.859,-0.4215
39,Sun Dec 03 02:54:19 +0000 2017,".@pnjaban on Kate Steinle verdict: ""This lady's death is due to San Francisco and now California politician's refus… https://t.co/WJkqSL8phc",0.071,0.173,0.756,-0.5106
40,Sun Dec 03 02:52:06 +0000 2017,"At a event with President @realDonaldTrump in New York City, @GOPChairwoman touted the @GOPs massive fundraising su… https://t.co/Jyxnj3msok",0.0,0.07,0.93,-0.0516
41,Sun Dec 03 02:44:05 +0000 2017,"TOMORROW on @NextRevFNC, @SteveHiltonx talks to @DarrellIssa - Tune in at 9p ET on Fox News Channel! https://t.co/2Qmzs2IGj4",0.0,0.0,1.0,0.0
42,Sun Dec 03 02:41:54 +0000 2017,".@GovMikeHuckabee on Kate Steinle verdict: ""It appears that one of the real failures in this trial was that the tri… https://t.co/TWdetGIeRU",0.068,0.127,0.805,-0.34
43,Sun Dec 03 02:37:35 +0000 2017,ABC News colleague takes swipe at Brian Ross over anthrax scare reporting https://t.co/LQAXVB7shN,0.0,0.211,0.789,-0.4939
44,Sun Dec 03 02:27:47 +0000 2017,".@GovMikeHuckabee on Kate Steinle verdict: ""Kate Steinle would not have died had we simply avoided these sanctuary… https://t.co/fuWB1YZvLk",0.206,0.109,0.684,0.2787
45,Sun Dec 03 02:17:47 +0000 2017,".@newtgingrich: Congratulations Senate Republicans on tax bill -- Now, on to the Conference https://t.co/AC6QxjEBzL",0.231,0.0,0.769,0.5994
46,Sun Dec 03 02:02:26 +0000 2017,"WATCH: @jessebwatters' full interview with a school chairman who called President Donald Trump a ""bona fide"" idiot.… https://t.co/iZE156ONDI",0.0,0.0,1.0,0.0
47,Sun Dec 03 01:53:30 +0000 2017,"School chairman Ryan Sawyers on calling Trump a ""bona fide idiot"": ""I think it's an honest thing to say... it's my… https://t.co/Xf8QtBUFlC",0.142,0.0,0.858,0.5106
48,Sun Dec 03 01:40:33 +0000 2017,".@TomiLahren on addressing sexual harassment: ""The best way to fight it is through the First Amendment. It's being… https://t.co/CWwloc6LzV",0.16,0.232,0.608,-0.2263
49,Sun Dec 03 01:23:15 +0000 2017,".@IngrahamAngle on Kate Steinle verdict: ""[@realDonaldTrump] ran on protecting Americans and legal immigrants from… https://t.co/OUEHD7AbJt",0.193,0.0,0.807,0.2732
50,Sun Dec 03 01:20:46 +0000 2017,".@jessebwatters: ""A country without laws and borders is not a country. But the Left is okay with that because open… https://t.co/ngJc6w7MwF",0.091,0.0,0.909,0.2263
51,Sun Dec 03 01:10:52 +0000 2017,#BoycottSanFrancisco takes off after Steinle case acquittal https://t.co/BXlSqLdf3s,0.0,0.0,1.0,0.0
52,Sun Dec 03 00:57:02 +0000 2017,.@dbongino: GOP 'Damn Well Better' Finish Tax Reform 'Or This Party's Toast' https://t.co/KhEyWngNBV,0.282,0.153,0.565,0.3182
53,Sun Dec 03 00:51:30 +0000 2017,"Mother's boyfriend arrested, charged in case of deceased North Carolina toddler, .@BryanLlenas reports.… https://t.co/lmIsVXqd7D",0.0,0.29,0.71,-0.5994
54,Sun Dec 03 00:42:58 +0000 2017,"Melissa Quinn on Robert Mueller's investigation: ""If @POTUS did go ahead and move to fire Mueller in the wake of th… https://t.co/ZEikwadPdc",0.0,0.103,0.897,-0.34
55,Sun Dec 03 00:39:42 +0000 2017,"Melissa Quinn on Michael Flynn: ""The one thing this charge against Flynn does show us is that it's going to be even… https://t.co/0zOJM44I0w",0.0,0.0,1.0,0.0
56,Sun Dec 03 00:36:34 +0000 2017,"Melissa Quinn on Michael Flynn: ""When you look at those who are closest to @POTUS both during the election and duri… https://t.co/yY4yClCiSn",0.0,0.0,1.0,0.0
57,Sun Dec 03 00:31:52 +0000 2017,"Remains of missing 3-year-old North Carolina girl found, authorities say https://t.co/MqOAAZmWRo",0.0,0.18,0.82,-0.296
58,Sun Dec 03 00:22:59 +0000 2017,Trump's USDA Relaxes Obama-Era School Lunch Restrictions https://t.co/xmc5xGGqDe,0.263,0.0,0.737,0.3612
59,Sun Dec 03 00:09:53 +0000 2017,".@POTUS praises GOP lawmakers after Senate passes tax bill, @Garrett_FoxNews reports. https://t.co/AN9FXSKYFp https://t.co/maCWNWeGcj",0.221,0.0,0.779,0.5267
60,Sun Dec 03 00:04:49 +0000 2017,Mueller dismisses top FBI agent in Russia probe over possible anti-Trump texts https://t.co/n2lvGQheJ6,0.13,0.0,0.87,0.2023
61,Sun Dec 03 00:02:45 +0000 2017,"GOP Senate survived two surprise, nor'easter-like storms to ultimately pass major tax reform https://t.co/YfQtDIMsWO",0.31,0.0,0.69,0.6597
62,Sat Dec 02 23:58:46 +0000 2017,H.R. McMaster: Potential for war with North Korea increases ‘every day’ https://t.co/BjpanJuikP,0.0,0.262,0.738,-0.5994
63,Sat Dec 02 23:56:27 +0000 2017,"Dan Gillerman on Flynn guilty plea: ""I think instead of a plea bargain, Michael Flynn should actually get a medal.""… https://t.co/SMTiHC1RbY",0.083,0.13,0.787,-0.25
64,Sat Dec 02 23:47:12 +0000 2017,".@BretBaier: ""Can you explain how the CIA is ramping up operations against terrorism?"" 

Mike Pompeo: ""We work to c… https://t.co/O7apHnWTa8",0.0,0.0,1.0,0.0
65,Sat Dec 02 23:41:00 +0000 2017,"Hon. Leon Panetta on current world affairs: ""We're fighting a war on terrorism, we've got failed states in the Midd… https://t.co/l3TycLzkO0",0.0,0.472,0.528,-0.936
66,Sat Dec 02 23:39:42 +0000 2017,"Former CIA director Leon Panetta on current world affairs: ""I have never seen as many flash points in the world pro… https://t.co/NyvsWJKxEv",0.0,0.0,1.0,0.0
67,Sat Dec 02 23:37:40 +0000 2017,"CIA director Mike Pompeo: ""We couldn't do much of what we do in the intelligence community without an enormous comm… https://t.co/StBsIUEd5e",0.134,0.0,0.866,0.4767
68,Sat Dec 02 23:30:07 +0000 2017,.@bob_welch: 'A Christmas Carol' offers important lessons on how we should all be living today https://t.co/wDcmdLtCxC,0.107,0.0,0.893,0.2023
69,Sat Dec 02 23:22:59 +0000 2017,"North Korean missile broke up on re-entry, US official says https://t.co/ZxwlIb3bAq",0.0,0.219,0.781,-0.4215
70,Sat Dec 02 23:04:04 +0000 2017,U.S. markets since election. https://t.co/zSY3KbkOcT,0.0,0.0,1.0,0.0
71,Sat Dec 02 23:01:19 +0000 2017,BREAKING: ABC News suspends Brian Ross over 'serious error' in Trump/Flynn report https://t.co/04nnEX2PT4,0.0,0.267,0.733,-0.4588
72,Sat Dec 02 22:59:17 +0000 2017,"Florida teen who reportedly ran off with soccer coach found safe in New York, police say   https://t.co/EW42CGavy7",0.153,0.0,0.847,0.4404
73,Sat Dec 02 22:46:58 +0000 2017,"Remains of missing Army veteran, dog found in shallow grave https://t.co/46QCIvCjZo",0.0,0.348,0.652,-0.5859
74,Sat Dec 02 22:41:26 +0000 2017,"GOP Senate survived two surprise, nor'easter-like storms to ultimately pass major tax reform https://t.co/ge2X3Ivepy",0.31,0.0,0.69,0.6597
75,Sat Dec 02 22:31:16 +0000 2017,"Moments ago on Twitter, President @realDonaldTrump paid homage to Rosa Parks, who, 62 years ago this week, refused… https://t.co/cXkRs4ifOa",0.0,0.0,1.0,0.0
76,Sat Dec 02 22:29:05 +0000 2017,President @realDonaldTrump is greeted with a salute upon arriving at @JFKairport in New York. https://t.co/BdBz52QILJ,0.139,0.0,0.861,0.2732
77,Sat Dec 02 22:26:01 +0000 2017,"On @ffweekend, @SheriffClarke gave his take on the @NFL's reported plan to donate nearly $100 million to ""social ju… https://t.co/oI9JPuj2Ft",0.0,0.0,1.0,0.0
78,Sat Dec 02 22:17:26 +0000 2017,"Mueller dismisses top FBI agent in Russia probe over possible anti-Trump texts    
https://t.co/n2lvGQheJ6",0.13,0.0,0.87,0.2023
79,Sat Dec 02 22:16:12 +0000 2017,.@NancyPelosi has called on Nevada Democratic @RepKihuen to resign following allegations of sexual harassment.… https://t.co/yX9t5HmlEC,0.0,0.146,0.854,-0.34
80,Sat Dec 02 22:12:02 +0000 2017,"On ""The Cost of Freedom,"" @RepDeSantis gave his take on allegations against the Trump campaign for colluding with R… https://t.co/u6T1g1DvQV",0.0,0.104,0.896,-0.296
81,Sat Dec 02 22:08:05 +0000 2017,"At the Reagan National Defense Forum, National Security Adviser H.R. McMaster shared his desire for unity.… https://t.co/vfJmeGgTdt",0.409,0.0,0.591,0.7906
82,Sat Dec 02 22:05:03 +0000 2017,"""The era of strategic patience is over.""

WATCH: H.R. McMaster's full remarks at #RNDF - Part 2. https://t.co/MH2MGejbF7",0.0,0.0,1.0,0.0
83,Sat Dec 02 22:00:07 +0000 2017,"H.R. McMaster: ""[Ronald Reagan] secured our nation, helped bring down the Berlin Wall, and ensured that freedom and… https://t.co/nVS6M4tIKk",0.289,0.0,0.711,0.7845
84,Sat Dec 02 21:52:14 +0000 2017,WATCH: @BretBaier's full interview with National Security Adviser H.R. McMaster at #RNDF - Part 3. https://t.co/E1b7eHQCLQ,0.146,0.0,0.854,0.34
85,Sat Dec 02 21:52:10 +0000 2017,WATCH: @BretBaier's full interview with National Security Adviser H.R. McMaster at #RNDF - Part 2. https://t.co/vMd3O42Tzx,0.146,0.0,0.854,0.34
86,Sat Dec 02 21:52:05 +0000 2017,WATCH: @BretBaier's full interview with National Security Adviser H.R. McMaster at #RNDF - Part 1. https://t.co/k84HSXYz1z,0.146,0.0,0.854,0.34
