,Date,Text,Positive,Negative,Neutral,Compound
32,Sun Dec 03 02:22:06 +0000 2017,Tax reform bill: What's in the final version passed by the Senate? https://t.co/S2MxD74EPz https://t.co/kLFbf00qx2,0.0,0.0,1.0,0.0
33,Sun Dec 03 02:10:06 +0000 2017,Authorities believe they found body of missing 3-year-old girl https://t.co/bjQmtLIZEq https://t.co/6DbQAUuQns,0.0,0.18,0.82,-0.296
34,Sun Dec 03 02:03:04 +0000 2017,"Cops: 7-year-old girl finds mom stabbed to death, tells school counselor https://t.co/c6uoQpnAqc https://t.co/HHTLCKFXfO",0.0,0.382,0.618,-0.7783
35,Sun Dec 03 01:33:05 +0000 2017,"Jesse Ventura and estate of ""American Sniper"" author Chris Kyle agree to dismiss case https://t.co/PsE0JBMogD https://t.co/SgKfxWhb5l",0.143,0.0,0.857,0.3612
36,Sun Dec 03 01:18:08 +0000 2017,"Missing Florida teenager, who police said was traveling north with a 27-year-old high school soccer coach, has been… https://t.co/rU78Cv76GL",0.0,0.115,0.885,-0.296
37,Sun Dec 03 01:16:05 +0000 2017,Christmas tree shortage's roots go back to 2008 financial crisis https://t.co/MFDqXtbw4b https://t.co/udSqcng9Ig,0.0,0.272,0.728,-0.6249
38,Sun Dec 03 01:10:05 +0000 2017,Some New Yorkers warily eye artwork display of Guantanamo detainees https://t.co/XuLG81rrqV https://t.co/BpdQBD3xuX,0.0,0.0,1.0,0.0
39,Sun Dec 03 01:03:06 +0000 2017,"Ed Sheeran and Beyoncé drop ""Perfect Duet"" https://t.co/cgSgHRdZ4s https://t.co/MNmB0o4urk",0.289,0.164,0.547,0.3818
40,Sun Dec 03 01:00:11 +0000 2017,Trump lawyer wrote tweet implying Trump knew Flynn lied to FBI https://t.co/H915CUJlGj https://t.co/H2GOF5F4Ww,0.0,0.178,0.822,-0.3818
41,Sun Dec 03 00:48:05 +0000 2017,"Mattress startup Casper sued for ""wiretapping"" website visitors https://t.co/vemN82TBZb https://t.co/56i1oOAzCk",0.0,0.0,1.0,0.0
42,Sun Dec 03 00:33:06 +0000 2017,How 4 different households will fare under the tax bill the Senate passed https://t.co/Uwnj0Knvon https://t.co/Z1UfMEjD9o,0.0,0.0,1.0,0.0
43,Sun Dec 03 00:28:05 +0000 2017,Suicide bombing at Nigeria market leaves 13 dead https://t.co/lEMx34x9Ld https://t.co/ZFlR1W6zSm,0.0,0.524,0.476,-0.8689
44,Sun Dec 03 00:18:07 +0000 2017,"Mariah Woods, missing 3-year-old, believed dead; mother's boyfriend arrested https://t.co/wnQ4RPlRZE https://t.co/ntxtxAblJa",0.0,0.545,0.455,-0.8625
45,Sun Dec 03 00:10:04 +0000 2017,"Driver slams truck into toll booth on San Francisco's Bay Bridge, killing attendant https://t.co/O4BUo4oyWe https://t.co/f9MCGQs6ru",0.0,0.239,0.761,-0.6597
46,Sun Dec 03 00:03:04 +0000 2017,Hunter kills ginormous 600-pound bear in Pennsylvania https://t.co/YuGSvUzc1j https://t.co/4T2Q4cS8Ch,0.0,0.304,0.696,-0.5423
47,Sat Dec 02 23:40:02 +0000 2017,Feds want to seize Martin Shkreli's Wu-Tang Clan album; the former pharmaceutical executive reportedly paid $2 mill… https://t.co/3x29YqLLev,0.071,0.0,0.929,0.0772
48,Sat Dec 02 23:36:04 +0000 2017,"Brock Turner, ex-Stanford swimmer convicted of sexual assault, wants case thrown out https://t.co/A6ZJZeGxdd https://t.co/M1lXoUcgNV",0.0,0.226,0.774,-0.5859
49,Sat Dec 02 23:24:09 +0000 2017,ABC News' Brian Ross suspended four weeks without pay for botched Flynn report https://t.co/xrONSLDczf https://t.co/LkjyaucKmK,0.074,0.178,0.747,-0.4222
50,Sat Dec 02 23:20:01 +0000 2017,"A judge in Minnesota refused to judge a book by its cover and instead, judged by what he saw inside:… https://t.co/E3t4CL3WKw",0.0,0.109,0.891,-0.296
51,Sat Dec 02 23:08:34 +0000 2017,"@CBSNews MORE: ABC News says ""the reporting conveyed by Brian Ross during the special report had not been fully vet… https://t.co/iZFqILuKIo",0.119,0.0,0.881,0.4019
52,Sat Dec 02 23:00:02 +0000 2017,"JUST IN: ABC News suspends chief investigative correspondent Brian Ross for 4 weeks over ""serious error"" in Trump-F… https://t.co/kuQvM0w0d6",0.0,0.2,0.8,-0.4588
53,Sat Dec 02 22:55:01 +0000 2017,A special education teacher's assistant has been charged with kicking a 16-year-old nonverbal student who was in a… https://t.co/42cJqSzWVK,0.138,0.092,0.769,0.2263
54,Sat Dec 02 22:36:28 +0000 2017,"A timeline of Michael Flynn's contacts with Russia, his ouster and guilty plea: https://t.co/G7lRyNzdSj https://t.co/FufJjs7uOz",0.0,0.177,0.823,-0.4215
55,Sat Dec 02 22:18:29 +0000 2017,Bitcoin exchange Coinbase has been ordered to hand over customer data to IRS https://t.co/z7ETK4P1hB https://t.co/OMrykzlvzG,0.186,0.0,0.814,0.4939
56,Sat Dec 02 21:58:04 +0000 2017,A siren blared across Hawaii for the first time since the end of the Cold War in an effort to prepare tourists and… https://t.co/Mr1JCcGSWO,0.0,0.151,0.849,-0.5994
57,Sat Dec 02 21:35:02 +0000 2017,"A 70-year-old retirement community resident made ricin and tested the deadly toxin on her neighbors, investigators… https://t.co/LtGvbzCNWE",0.0,0.0,1.0,0.0
