,Date,Text,Positive,Negative,Neutral,Compound
34,Sun Dec 03 01:30:02 +0000 2017,Met Opera to Investigate James Levine Over Sexual Abuse Accusation https://t.co/U9CL60tTn4,0.0,0.408,0.592,-0.7351
35,Sun Dec 03 01:16:46 +0000 2017,"Tax Bill Offers Last-Minute Breaks for Developers, Banks and Oil Industry https://t.co/hWyDLgB9ah",0.0,0.0,1.0,0.0
36,Sun Dec 03 01:09:58 +0000 2017,"Elon Musk has turned on the world's biggest battery, capable of powering 30,000 homes in South Australia https://t.co/WNf2UwTliJ",0.133,0.0,0.867,0.3818
37,Sun Dec 03 00:48:31 +0000 2017,Opinion: The Starving Lands https://t.co/g2zzoVov88,0.0,0.412,0.588,-0.4215
38,Sun Dec 03 00:44:42 +0000 2017,"Prince Harry designed the engagement ring which includes two diamonds from his mother, Princess Diana https://t.co/0jSPpAcS6u",0.167,0.0,0.833,0.4588
39,Sun Dec 03 00:27:38 +0000 2017,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/NZj8OIEFBe,0.0,0.0,1.0,0.0
40,Sun Dec 03 00:00:11 +0000 2017,Many of the last-minute changes in the tax bill were meant to convince a handful of holdout GOP senators https://t.co/o36TxVg7ai,0.1,0.0,0.9,0.25
41,Sat Dec 02 23:46:02 +0000 2017,"As Roy Moore denies claims of sexual misconduct, he has vilified Gloria Allred, the lawyer representing an accuser https://t.co/jQ4MiwVYvz",0.0,0.135,0.865,-0.4215
42,Sat Dec 02 23:36:09 +0000 2017,"Sarah Ward and Jonathan Rupp married on a farm in Georgia. One of her horses, Bling Bling, was their ringbearer. https://t.co/VUfCVuAEFF",0.0,0.0,1.0,0.0
43,Sat Dec 02 23:26:05 +0000 2017,"ABC News has suspended Brian Ross for 4 weeks over ""a serious error"" in a report about Trump and Michael Flynn https://t.co/5x1CwYwx5U",0.0,0.295,0.705,-0.7269
44,Sat Dec 02 23:16:04 +0000 2017,"Before the draw for the 2018 World Cup, Russia's deputy prime minister fended off questions about doping https://t.co/cohnqCfoRr",0.0,0.0,1.0,0.0
45,Sat Dec 02 23:06:06 +0000 2017,We scoured the internet for political writing from the right and left on reactions to Michael Flynn’s guilty plea https://t.co/4fGnleO05z,0.0,0.128,0.872,-0.4215
46,Sat Dec 02 22:56:03 +0000 2017,RT @nytmike: Emails we obtained from inside the Trump transition team show just how much Trump’s aides were concerned about sanctions on De…,0.0,0.0,1.0,0.0
47,Sat Dec 02 22:46:01 +0000 2017,The College Football Playoff picture is taking shape with 4 conference championship games. Live updates: https://t.co/bK1HGUieUH,0.172,0.0,0.828,0.4404
48,Sat Dec 02 22:36:01 +0000 2017,"Despite differences, the House and Senate versions of the Republican tax bill share many core elements https://t.co/rtCJzLTjQl",0.121,0.0,0.879,0.296
49,Sat Dec 02 22:26:05 +0000 2017,Our 25 most popular recipes of 2017 https://t.co/h4upEQNgMC https://t.co/RZoVYOCUIo,0.279,0.0,0.721,0.4754
50,Sat Dec 02 22:16:02 +0000 2017,"Fed-up straphangers are embracing the East River Ferry, and real-estate developers are taking notice https://t.co/PhZMQc83S6",0.0,0.0,1.0,0.0
51,Sat Dec 02 22:06:06 +0000 2017,"Even in a whirlwind presidency, it has been a dizzying span of hours for the Trump administration https://t.co/YRpHM57bPE",0.0,0.0,1.0,0.0
52,Sat Dec 02 21:56:02 +0000 2017,Senator Bob Corker of Tennessee was the only Republican to vote no to the GOP tax bill. See how each senator voted. https://t.co/N5C1aa1XOP,0.0,0.091,0.909,-0.296
53,Sat Dec 02 21:46:03 +0000 2017,"For the first time in the U.S., a woman who had a uterus transplant has given birth https://t.co/ayAsK0gv1S",0.0,0.0,1.0,0.0
54,Sat Dec 02 21:36:01 +0000 2017,"Claims of sexual misconduct grip Spelman and Morehouse, 2 historically black schools linked by history and geography https://t.co/477zhci04t",0.0,0.0,1.0,0.0
55,Sat Dec 02 21:26:06 +0000 2017,Here are excerpts from Michael Flynn's court documents and what they mean https://t.co/3l6nKp0jdx,0.0,0.0,1.0,0.0
56,Sat Dec 02 21:15:09 +0000 2017,Emails from Trump officials dispute the White House's claim that Michael Flynn went rogue with his Russia contacts https://t.co/spUYfpdV2O,0.0,0.13,0.87,-0.4019
57,Sat Dec 02 20:59:06 +0000 2017,Opinion: The racial biases associated with AI terrifies this mother of 2 young children https://t.co/ZqNyplyLqu,0.0,0.217,0.783,-0.5574
58,Sat Dec 02 20:41:04 +0000 2017,The first test of Prince Harry and Meghan Markle's fairy-tale romance? A British citizenship exam. Could you ace it? https://t.co/KRkAfS1TN0,0.18,0.0,0.82,0.6072
59,Sat Dec 02 20:26:05 +0000 2017,"A memo. An executive visit to ""NBC Nightly News."" NBC News does in-house damage control after firing Matt Lauer. https://t.co/9XY3tfam3H",0.0,0.248,0.752,-0.6808
60,Sat Dec 02 20:11:04 +0000 2017,The Republican tax plan could mean leaving government leaner and the safety net skimpier for millions of Americans https://t.co/36UUE8zWFe,0.135,0.0,0.865,0.4215
61,Sat Dec 02 19:56:02 +0000 2017,“Everybody’s bawling.” A girls basketball team run by a juvenile court ended its losing streak at 312 games. https://t.co/qW9oqSiwFS,0.0,0.14,0.86,-0.3818
62,Sat Dec 02 19:41:03 +0000 2017,"President Trump tweeted that he fired Michael Flynn “because he lied to the vice president and the FBI"" https://t.co/SX6CRM1WmT",0.0,0.267,0.733,-0.7351
63,Sat Dec 02 19:31:02 +0000 2017,RT @nytvideo: Is it ever O.K. to joke about rape? We asked female comedians how stand-up is changing in the post-Weinstein era. https://t.c…,0.151,0.162,0.687,-0.3182
64,Sat Dec 02 19:21:03 +0000 2017,"Like other Washington traditions that Trump has disrupted, the White House holiday party was no exception https://t.co/zgbV5bwMUB",0.342,0.095,0.563,0.6908
65,Sat Dec 02 19:06:06 +0000 2017,See how your senator voted on the GOP tax bill https://t.co/A9FtgXCn1b,0.0,0.0,1.0,0.0
66,Sat Dec 02 18:56:04 +0000 2017,"RT @nytmike: A rare public statement on the record from the Special Counsel's office to the media: ""Immediately upon learning of the allega…",0.114,0.0,0.886,0.4019
67,Sat Dec 02 18:46:02 +0000 2017,Opinion: Who might now be swept up in the investigation? The next obvious candidate is Jared Kushner. https://t.co/WIdbiyoXM6,0.0,0.0,1.0,0.0
68,Sat Dec 02 18:36:01 +0000 2017,Most Britons find the British citizenship test almost impossible to pass. Will Meghan Markle ace it? https://t.co/5LkIy5gvey,0.0,0.0,1.0,0.0
69,Sat Dec 02 18:21:05 +0000 2017,"According to the government of Myanmar, the Rohingya do not exist. How?
 https://t.co/oSMMdu6Gys",0.0,0.0,1.0,0.0
70,Sat Dec 02 18:06:05 +0000 2017,"The definitive French dishes that every modern cook should master https://t.co/WxvnqvGlT7

@SamSifton, @nytfood edi… https://t.co/Cl6n0ZtCYY",0.0,0.0,1.0,0.0
71,Sat Dec 02 17:56:05 +0000 2017,"In a big win for President Trump, the Senate passed its tax plan. It now must be reconciled with the House version. https://t.co/J4DsgU571z",0.153,0.0,0.847,0.5859
72,Sat Dec 02 17:46:01 +0000 2017,"The agent, Peter Strzok, was reassigned this summer from Robert Mueller’s investigation to the FBI's human resources department",0.0,0.0,1.0,0.0
73,Sat Dec 02 17:36:07 +0000 2017,This lentil soup will keep you warm all winter long https://t.co/P60FkbL2Gi,0.16,0.0,0.84,0.2263
74,Sat Dec 02 17:21:03 +0000 2017,Trump's team hopes that the tax plan may resonate more powerfully with the public than the news of Michael Flynn https://t.co/Dzzv2C5Yl4,0.123,0.0,0.877,0.4215
75,Sat Dec 02 17:07:36 +0000 2017,"Step onto the Great Wall of China, one of the new Seven Wonders of the World, in 360° video https://t.co/TeONS93k8A",0.177,0.0,0.823,0.6249
76,Sat Dec 02 16:51:10 +0000 2017,The FBI agent was cut from the Russia inquiry over possible anti-Trump political views expressed in text messages https://t.co/F3X2GmgDiF,0.0,0.104,0.896,-0.2732
