,Date,Text,Positive,Negative,Neutral,Compound
73,Fri Dec 01 22:14:59 +0000 2017,"Saturday's Daily Star: ""Murder on the dancefloor"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/KCpP3eOKrT",0.0,0.299,0.701,-0.6908
74,Fri Dec 01 22:14:54 +0000 2017,"Saturday's Daily Telegraph: ""Trump aide turns informer in Russia case"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/tO6AJTr0p0",0.0,0.0,1.0,0.0
75,Fri Dec 01 22:14:54 +0000 2017,"Saturday's Sun: ""Mega star!"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/Pso8PxvKmW",0.0,0.0,1.0,0.0
76,Fri Dec 01 22:14:49 +0000 2017,"Saturday's Daily Mirror: ""The minister for porn"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/tspV9KaKMQ",0.0,0.0,1.0,0.0
77,Fri Dec 01 22:10:39 +0000 2017,Kaspersky Labs: Warning over Russian anti-virus software https://t.co/G1t6ShDKYD,0.0,0.255,0.745,-0.34
78,Fri Dec 01 22:01:08 +0000 2017,RT @BBCSport: ?? “The World Cup draw: a very English reaction” https://t.co/iYCNNnUo2K,0.0,0.0,1.0,0.0
79,Fri Dec 01 22:00:47 +0000 2017,"RT @BBCSport: FT AFC Fylde 1-1 Wigan

Both teams are still in the hat and in with a chance of landing a draw against the big boys in the th…",0.069,0.0,0.931,0.25
80,Fri Dec 01 22:00:43 +0000 2017,"RT @BBCSportWales: FT: #CardiffCity 3-1 Norwich 

The Bluebirds close the gap to leaders Wolverhampton Wanderers to just a point thanks to…",0.132,0.0,0.868,0.4404
81,Fri Dec 01 22:00:37 +0000 2017,"RT @BBCSport: FT Leeds 1-1 Aston Villa 

Henri Lansbury earns #AVFC a point against #LUFC in an even game at Elland Road https://t.co/xYzkq…",0.0,0.0,1.0,0.0
82,Fri Dec 01 21:52:28 +0000 2017,"Saturday's Daily Mail: ""Tories at war with the police"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/CHBtQEuIsx",0.0,0.231,0.769,-0.5994
83,Fri Dec 01 21:52:24 +0000 2017,"Saturday's i weekend: ""Davis threat to quit if deputy PM is fired over porn"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/Pl2D7PPP5s",0.0,0.318,0.682,-0.7906
84,Fri Dec 01 21:52:22 +0000 2017,"Saturday's Financial Times Weekend: ""Flynn pleads guilty to lying over Russian ties"" #tomorrowspaperstoday… https://t.co/VcLETDikrA",0.0,0.341,0.659,-0.7351
85,Fri Dec 01 20:57:57 +0000 2017,Prince Harry and Meghan Markle complete first joint public engagement since... their engagement… https://t.co/2Ohm4KHBSL,0.188,0.0,0.812,0.4588
86,Fri Dec 01 20:57:27 +0000 2017,Toys R Us prepares to shut 25 stores https://t.co/merUbSymON,0.0,0.0,1.0,0.0
87,Fri Dec 01 20:53:53 +0000 2017,RT @bbcweather: What's the #weekend got in store? The forecast for the next 48 hours squeezed into 60 seconds. Get your local detail here h…,0.0,0.0,1.0,0.0
88,Fri Dec 01 20:06:23 +0000 2017,"RT @BBCSteveR: Want to know more about Volgograd, where England play their opening World Cup match next June? It has one of the world's tal…",0.139,0.0,0.861,0.4019
89,Fri Dec 01 20:05:53 +0000 2017,"RT @BBC_HaveYourSay: ""I will have a 70-mile round trip now"" - the lengths people say they'll have to go to with bank branch closures on the…",0.0,0.0,1.0,0.0
90,Fri Dec 01 20:02:31 +0000 2017,'Suicide pact' trial: Natasha Gordon found guilty https://t.co/SNUs60mMRt,0.0,0.549,0.451,-0.8074
91,Fri Dec 01 19:31:53 +0000 2017,"RT @BBCWorld: Artist rescued after not-so-great 'escape'

https://t.co/cKQrURtq69 https://t.co/RvVwXigmkY",0.259,0.0,0.741,0.4215
92,Fri Dec 01 18:37:43 +0000 2017,RT @BBCBusiness: RBS is closing branches. Is your nearest one under threat? https://t.co/qvmDLB6f0W https://t.co/t1AYd5l92u,0.0,0.207,0.793,-0.5267
93,Fri Dec 01 17:49:56 +0000 2017,Supermarkets 'raise the price of Christmas biscuits' https://t.co/QmYmXwu7wQ,0.0,0.0,1.0,0.0
94,Fri Dec 01 17:29:17 +0000 2017,"Any UK offer to deal with Irish border after #Brexit must be acceptable to Ireland, EU's Donald Tusk says… https://t.co/u4QkhRddYq",0.108,0.0,0.892,0.3182
95,Fri Dec 01 17:27:37 +0000 2017,Brexit offer 'must be acceptable to Ireland' https://t.co/GZV3URQgd4,0.247,0.0,0.753,0.3182
96,Fri Dec 01 17:15:34 +0000 2017,"Irish PM says he's prepared to ""stand firm"" with EU partners if UK offer ""falls short"" on key #Brexit issues – incl… https://t.co/2S9QEcTg29",0.083,0.0,0.917,0.2263
97,Fri Dec 01 16:52:11 +0000 2017,SNP MP rebuked for calling Lords 'ermine vermin' https://t.co/orzcbYNMsP,0.0,0.0,1.0,0.0
98,Fri Dec 01 16:49:53 +0000 2017,RT @bbclaurak: Apparently in fact the PM herself does NOT have the final Green report,0.0,0.0,1.0,0.0
99,Fri Dec 01 16:31:25 +0000 2017,"RT @BBCSport: Fixtures ?
Times ?
Place ?

Plan your 2018 Fifa #WorldCup here ? https://t.co/ZP8c002zey #WorldCupDraw #bbcfootball https://t…",0.0,0.0,1.0,0.0
