,Date,Text,Positive,Negative,Neutral,Compound
30,Sat Dec 02 14:17:26 +0000 2017,RT @mkraju: Trump responds to Flynn pleading guilty re lying about his conversations with Russians and being directed to do so by transitio…,0.0,0.228,0.772,-0.7351
31,Sat Dec 02 14:10:16 +0000 2017,"Former federal prosecutor John Brownlee: Michael Flynn's credibility as a witness ""has been significantly damaged b… https://t.co/oRRBYkAflg",0.0,0.162,0.838,-0.4404
32,Sat Dec 02 14:00:10 +0000 2017,The first time these mothers see their sons' bodies up close after officer-involved shootings isn't in a hospital o… https://t.co/4nwQcloTEg,0.0,0.0,1.0,0.0
33,Sat Dec 02 13:03:30 +0000 2017,RT @CNNPolitics: How President Trump has disparaged the Russia investigation https://t.co/EB8nfTLqw5 https://t.co/1DsEvMwAxU,0.0,0.179,0.821,-0.34
34,Fri Dec 01 21:22:18 +0000 2017,“What we are seeing is the degree to which the Russians had the Trump people in their pocket” - Carl Bernstein… https://t.co/mQDLK3ImVZ,0.0,0.0,1.0,0.0
35,Fri Dec 01 20:32:11 +0000 2017,Michael Flynn pleads guilty to lying to FBI and is now cooperating in probe. What exactly did he lie about? CNN’s… https://t.co/oAjTBmDlXI,0.0,0.237,0.763,-0.7351
36,Fri Dec 01 19:03:49 +0000 2017,RT @CNN: German police defuse device near Christmas market outside Berlin https://t.co/1VmCuGDJBu https://t.co/HxBFrZlIld,0.0,0.0,1.0,0.0
37,Fri Dec 01 18:55:17 +0000 2017,"RT @CNNPolitics: GOP Sen. John Hoeven on the tax bill: ""We do hope to finish the bill tonight"" https://t.co/u4C0cjuEwl",0.139,0.0,0.861,0.4404
38,Fri Dec 01 18:31:02 +0000 2017,"CNN's @jimsciutto ""In your view has the President lied about what communications his team had with Russia?""

Rep. A… https://t.co/DsDMgbNWyG",0.0,0.12,0.88,-0.3818
39,Fri Dec 01 18:20:13 +0000 2017,"Rep. Adam Schiff calls Flynn's guilty plea ""breathtaking,"" says this is ""the chief adviser to the President in term… https://t.co/nDm0jzAvx9",0.0,0.128,0.872,-0.4215
40,Fri Dec 01 17:32:15 +0000 2017,"CNN's @Phil_Mattingly: Senators made the calculation ""to cut Senator Bob Corker loose,"" they are not adding a defic… https://t.co/D9a30omyPu",0.0,0.11,0.89,-0.2732
41,Fri Dec 01 17:15:48 +0000 2017,".@maggieNYT reacts to statement by Trump's lawyer: ""'I barely know the guy' strategy is not going to work when it c… https://t.co/aJXhaT8MQA",0.0,0.0,1.0,0.0
42,Fri Dec 01 17:09:47 +0000 2017,RT @CNN: Former Trump national security adviser Michael Flynn disclosed that he is cooperating with Special Counsel Mueller's office https:…,0.221,0.0,0.779,0.6249
43,Fri Dec 01 16:44:26 +0000 2017,RT @CNN: BREAKING: Michael Flynn pleads guilty to making false statements to the FBI https://t.co/ur4KDLWjIs https://t.co/soQgF5Akto,0.0,0.157,0.843,-0.4215
44,Fri Dec 01 16:44:14 +0000 2017,CNN's @evanperez is outside the courthouse where Mike Flynn just pled guilty to lying to the FBI and has Flynn's st… https://t.co/yfySzYH58j,0.0,0.237,0.763,-0.7351
45,Fri Dec 01 16:32:11 +0000 2017,"RT @jimsciutto: Important - Flynn says he was told to contact Russians: According the FBI statement, Flynn communicated with Kislyak after…",0.087,0.0,0.913,0.2023
